sample_id,trial_id,timestamp,gaze_x,gaze_y,pupil_left,pupil_right,blink,fixation,saccade,validity
1,T001,0.000,0.570,0.499,3.25,3.60,0,0,1,1
2,T001,0.017,0.458,0.497,3.27,3.24,0,1,0,1
3,T001,0.033,0.341,0.504,3.66,3.67,0,0,1,1
4,T001,0.050,0.351,0.506,3.34,3.39,0,1,0,0
5,T001,0.067,0.572,0.495,3.64,3.28,0,1,0,1
6,T001,0.083,0.617,0.549,3.41,3.30,0,1,0,1
7,T001,0.100,0.578,0.479,3.48,3.47,0,1,0,1
8,T001,0.117,0.481,0.568,3.40,3.33,0,0,1,1
9,T001,0.133,0.571,0.504,3.24,3.57,0,1,0,1
10,T001,0.150,0.505,0.433,3.20,3.68,0,1,0,1
11,T001,0.167,0.613,0.535,2.99,3.67,0,1,0,1
12,T001,0.183,0.604,0.384,3.34,3.17,0,1,0,1
13,T001,0.200,0.544,0.469,3.31,3.03,0,1,0,1
14,T001,0.217,0.525,0.540,3.37,3.47,0,1,0,1
15,T001,0.233,0.509,0.472,3.29,3.41,0,1,0,0
16,T001,0.250,0.482,0.368,3.25,2.89,0,1,0,1
17,T001,0.267,0.445,0.506,3.37,3.52,0,0,1,1
18,T001,0.283,0.535,0.498,3.09,3.43,0,1,0,1
19,T001,0.300,0.519,0.426,3.36,3.60,0,1,0,1
20,T001,0.317,0.388,0.456,3.50,3.29,0,1,0,1
21,T001,0.333,0.515,0.519,3.51,3.02,0,1,0,1
22,T001,0.350,0.596,0.578,3.34,3.29,0,1,0,1
23,T001,0.367,0.471,0.575,3.27,3.13,0,1,0,1
24,T001,0.383,0.439,0.481,3.28,3.23,0,1,0,1
25,T001,0.400,0.439,0.543,3.12,3.54,0,1,0,1
26,T001,0.417,0.458,0.591,3.40,3.42,0,1,0,1
27,T001,0.433,0.547,0.622,3.53,3.25,0,0,1,0
28,T001,0.450,0.533,0.357,3.10,3.23,0,1,0,1
29,T001,0.467,0.701,0.576,3.09,3.47,0,1,0,1
30,T001,0.483,0.585,0.425,3.19,3.20,0,1,0,1
31,T001,0.500,0.514,0.465,3.31,3.37,0,0,1,1
32,T001,0.517,0.539,0.532,3.35,3.67,0,1,0,1
33,T001,0.533,0.576,0.540,3.05,3.25,0,1,0,1
34,T001,0.550,0.561,0.412,3.35,3.25,0,1,0,1
35,T001,0.567,0.514,0.540,2.86,3.05,0,0,1,1
36,T001,0.583,0.470,0.547,3.61,3.22,0,1,0,1
37,T001,0.600,0.503,0.533,3.25,3.29,0,0,1,1
38,T001,0.617,0.747,0.405,3.53,3.06,0,1,0,1
39,T001,0.633,0.567,0.499,3.02,3.41,0,1,0,1
40,T001,0.650,0.555,0.592,3.25,3.49,0,1,0,0
41,T001,0.667,0.464,0.657,3.10,3.20,0,0,1,1
42,T001,0.683,0.449,0.495,3.02,3.56,0,1,0,0
43,T001,0.700,0.570,0.548,3.38,3.31,0,0,1,1
44,T001,0.717,0.467,0.594,2.86,2.98,0,0,1,1
45,T001,0.733,0.407,0.515,2.93,3.27,0,1,0,1
46,T001,0.750,0.490,0.525,3.52,3.17,0,1,0,1
47,T001,0.767,0.540,0.434,3.47,2.91,0,1,0,1
48,T001,0.783,0.473,0.530,3.11,3.25,0,1,0,1
49,T001,0.800,0.412,0.553,3.22,3.45,0,1,0,1
50,T001,0.817,0.432,0.409,3.35,3.60,0,1,0,1
51,T001,0.833,0.364,0.548,3.44,2.94,0,1,0,1
52,T001,0.850,0.642,0.555,3.03,3.05,0,0,1,1
53,T001,0.867,0.425,0.535,2.99,3.29,0,1,0,1
54,T001,0.883,0.598,0.534,3.18,3.27,0,1,0,1
55,T001,0.900,0.423,0.300,3.10,3.47,0,1,0,1
56,T001,0.917,0.477,0.646,3.48,3.39,0,1,0,1
57,T001,0.933,0.546,0.440,3.63,3.35,0,1,0,1
58,T001,0.950,0.473,0.493,3.25,3.66,0,0,1,1
59,T001,0.967,0.592,0.638,3.04,3.42,0,0,1,1
60,T001,0.983,0.526,0.304,3.21,3.64,0,0,1,0
61,T001,1.000,0.513,0.590,3.34,3.24,0,1,0,1
