split,model_name,loss,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,false_positive_rate,false_negative_rate,number_of_samples,number_of_truth,number_of_lie,source_file
validation,logistic_regression,,0.125,0.125,0.2,0.25,0.2222222222222222,0.125,0.3988095238095238,1.0,0.75,8,4,4,reports/baselines/baseline_metrics.csv
validation,random_forest,,0.5,0.5,0.5,0.75,0.6,0.25,0.4303571428571429,0.75,0.25,8,4,4,reports/baselines/baseline_metrics.csv
test,logistic_regression,,0.4583333333333333,0.4583333333333333,0.4705882352941176,0.6666666666666666,0.5517241379310345,0.6111111111111112,0.702391395154553,0.75,0.3333333333333333,24,12,12,reports/baselines/baseline_metrics.csv
test,random_forest,,0.625,0.625,0.6,0.75,0.6666666666666666,0.5694444444444444,0.5748454031348769,0.5,0.25,24,12,12,reports/baselines/baseline_metrics.csv
validation,lstm,0.6935531497001648,0.5,0.5,0.0,0.0,0.0,0.5625,0.6678571428571428,0.0,1.0,8,4,4,reports/sequences/sequence_model_metrics.csv
validation,gru,0.6871728301048279,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.625,0.6220238095238095,0.75,0.0,8,4,4,reports/sequences/sequence_model_metrics.csv
test,lstm,0.693488597869873,0.5,0.5,0.0,0.0,0.0,0.625,0.6190806087187666,0.0,1.0,24,12,12,reports/sequences/sequence_model_metrics.csv
test,gru,0.6967171430587769,0.4583333333333333,0.4583333333333333,0.4761904761904761,0.8333333333333334,0.6060606060606061,0.4097222222222222,0.5005962787212788,0.9166666666666666,0.1666666666666666,24,12,12,reports/sequences/sequence_model_metrics.csv
validation,causal_tcn,0.6989485621452332,0.5,0.5,0.0,0.0,0.0,0.3125,0.4511904761904762,0.0,1.0,8,4,4,reports/sequences/tcn_metrics.csv
test,causal_tcn,0.6935363213221232,0.4583333333333333,0.4583333333333333,0.4285714285714285,0.25,0.3157894736842105,0.4930555555555556,0.5253040532452298,0.3333333333333333,0.75,24,12,12,reports/sequences/tcn_metrics.csv
