model_type,trial_id,session_id,instruction,true_label,answer,prediction_count,usable_prediction_count,insufficient_data_count,mean_probability,max_probability,final_smoothed_probability,final_risk_category,mean_latency_ms,max_latency_ms
random_forest,T001,S001,lie,1,yes,3,3,0,0.40833333333333327,0.475,0.40833333333333327,medium,55.41110001892472,63.65820002974942
random_forest,T002,S001,lie,1,no,5,5,0,0.37,0.455,0.37833333333333335,low,51.14338001003489,72.31429999228567
random_forest,T003,S001,truth,0,yes,3,3,0,0.40166666666666667,0.51,0.40166666666666667,medium,46.6268666399022,54.340199974831194
random_forest,T004,S001,truth,0,yes,4,4,0,0.5375,0.61,0.5750000000000001,medium,50.96029998094309,58.679499954450876
random_forest,T005,S001,lie,1,no,4,4,0,0.6475,0.795,0.7283333333333334,high,58.747675007907674,74.4068999774754
random_forest,T006,S001,lie,1,no,5,5,0,0.5710000000000001,0.7,0.63,medium,53.69791999692097,66.17339997319505
random_forest,T007,S001,truth,0,yes,4,4,0,0.5225,0.615,0.5283333333333333,medium,49.21657503291499,52.54760000389069
random_forest,T008,S001,truth,0,yes,3,3,0,0.56,0.6,0.56,medium,47.173433316250645,55.470599967520684
random_forest,T009,S002,lie,1,no,2,2,0,0.435,0.47,0.435,medium,56.343100004596636,58.3799000014551
random_forest,T010,S002,truth,0,yes,2,2,0,0.3925,0.405,0.3925,low,55.89604997658171,60.91919995378703
random_forest,T011,S002,truth,0,yes,3,3,0,0.4666666666666666,0.49,0.4666666666666666,medium,51.29006666053707,56.778699974529445
random_forest,T012,S002,lie,1,no,2,2,0,0.51,0.615,0.51,medium,51.65960002341308,51.86040000990033
random_forest,T013,S002,lie,1,no,3,3,0,0.44166666666666665,0.46,0.44166666666666665,medium,41.15313332295045,45.37369997706264
random_forest,T014,S002,lie,1,no,4,4,0,0.56625,0.66,0.6183333333333333,medium,47.0243500021752,58.10819996986538
random_forest,T015,S002,truth,0,yes,2,2,0,0.49,0.515,0.49,medium,45.17369999666698,50.76700000790879
random_forest,T016,S002,truth,0,yes,5,5,0,0.386,0.51,0.38999999999999996,low,52.87509998306632,61.78629997884855
random_forest,T017,S003,truth,0,yes,6,6,0,0.6641666666666667,0.75,0.6916666666666668,medium,51.40873333827282,57.42100003408268
random_forest,T018,S003,lie,1,no,5,5,0,0.525,0.58,0.5683333333333334,medium,47.3013200215064,62.15040001552552
random_forest,T019,S003,lie,1,no,4,4,0,0.5225000000000001,0.635,0.5416666666666666,medium,47.5717000226723,58.25780000304803
random_forest,T020,S003,truth,0,yes,4,4,0,0.45999999999999996,0.61,0.47500000000000003,medium,50.318200010224245,59.87880000611767
random_forest,T021,S003,truth,0,yes,4,4,0,0.63125,0.72,0.6883333333333334,medium,50.58112500410061,59.45250001968816
random_forest,T022,S003,lie,1,no,8,8,0,0.488125,0.555,0.45999999999999996,medium,56.146537492168136,70.36109996261075
random_forest,T023,S003,truth,0,yes,4,4,0,0.44875,0.56,0.46,medium,48.24757501774002,61.99160002870485
random_forest,T024,S003,lie,1,no,5,5,0,0.5229999999999999,0.645,0.5166666666666666,medium,50.913779984693974,64.00789995677769
random_forest,T025,S004,truth,0,yes,5,5,0,0.634,0.77,0.7266666666666666,high,55.507159989792854,62.96030001249164
random_forest,T026,S004,lie,1,no,5,5,0,0.487,0.585,0.52,medium,50.567499990575016,55.11590000241995
random_forest,T027,S004,truth,0,yes,4,4,0,0.595,0.765,0.66,medium,51.99762500706129,58.47889999859035
random_forest,T028,S004,truth,0,yes,4,4,0,0.55875,0.68,0.59,medium,49.97370000637602,53.914799995254725
random_forest,T029,S004,truth,0,yes,4,4,0,0.42000000000000004,0.475,0.42,medium,49.01560001599137,55.503300041891634
random_forest,T030,S004,lie,1,no,3,3,0,0.5133333333333333,0.555,0.5133333333333333,medium,41.21329998209452,45.07299995748326
random_forest,T031,S004,lie,1,no,4,4,0,0.43124999999999997,0.49,0.4116666666666666,medium,50.929124976391904,55.14269997365773
random_forest,T032,S004,lie,1,no,4,4,0,0.47000000000000003,0.515,0.465,medium,50.569225000799634,58.61999996704981
random_forest,T033,S005,truth,0,yes,5,5,0,0.323,0.41,0.28833333333333333,low,53.34264000412077,63.13740002224222
random_forest,T034,S005,lie,1,no,3,3,0,0.645,0.77,0.645,medium,44.78690001027038,54.12009998690337
random_forest,T035,S005,lie,1,no,5,5,0,0.657,0.805,0.7516666666666666,high,49.017720005940646,59.99290000181645
random_forest,T036,S005,lie,1,no,6,6,0,0.6283333333333334,0.78,0.7316666666666668,high,49.337250005919486,54.67580002732575
random_forest,T037,S005,lie,1,no,3,3,0,0.4466666666666667,0.465,0.4466666666666667,medium,51.339333333695926,54.33590000029653
random_forest,T038,S005,truth,0,yes,3,3,0,0.37833333333333335,0.485,0.37833333333333335,low,46.775399978893496,53.58720000367612
random_forest,T039,S005,truth,0,yes,3,3,0,0.5066666666666667,0.65,0.5066666666666667,medium,47.62370001602297,50.97209999803454
random_forest,T040,S005,truth,0,yes,3,3,0,0.47000000000000003,0.555,0.47000000000000003,medium,42.9335999651812,49.40099996747449
random_forest,T041,S007,lie,1,yes,5,5,0,0.508,0.555,0.535,medium,52.29394000489265,63.561599992681295
random_forest,T042,S007,truth,0,yes,9,9,0,0.52,0.605,0.52,medium,57.7691111053961,64.71870001405478
random_forest,T043,S007,lie,1,timeout,10,10,0,0.4885,0.63,0.5466666666666667,medium,60.02079999889247,70.15629997476935
random_forest,T044,S007,truth,0,yes,6,6,0,0.5541666666666667,0.61,0.5666666666666668,medium,46.86615001022195,59.48170000920072
random_forest,T045,S007,lie,1,no,5,5,0,0.499,0.69,0.5616666666666666,medium,45.0168399955146,51.511699974071234
random_forest,T046,S007,truth,0,no,9,9,0,0.4961111111111111,0.535,0.5099999999999999,medium,54.9728444376443,61.34299997938797
random_forest,T047,S007,lie,1,no,4,4,0,0.6687500000000001,0.805,0.7400000000000001,high,42.245325006661005,47.3908000276424
random_forest,T048,S007,truth,0,yes,3,3,0,0.4483333333333333,0.515,0.4483333333333333,medium,51.321033330168575,55.48290000297129
