split,model_name,n_samples,n_truth,n_lie,probability_min,probability_max,probability_mean,probability_std,probability_median,probability_q10,probability_q25,probability_q75,probability_q90,probability_range,narrow_probability_range,mean_probability_truth,mean_probability_lie,separation
realtime_simulation,random_forest,209,102,107,0.22,0.805,0.5122727272727272,0.11612556013009577,0.49,0.393,0.435,0.58,0.6920000000000002,0.5850000000000001,False,0.5031862745098039,0.5209345794392523,0.017748304929448344
test,causal_tcn,24,12,12,0.4494540095329284,0.5128103494644165,0.48531658574938774,0.01863911553081404,0.486487939953804,0.4555824756622314,0.4754159078001976,0.500448077917099,0.5081945776939392,0.06335633993148809,True,0.4849516873558362,0.48568148414293927,0.0007297967871030542
test,gru,24,12,12,0.492399126291275,0.5424994230270386,0.5157522050042948,0.012389160252810361,0.5161072015762329,0.5000019609928131,0.5071993321180344,0.5242204368114471,0.5286574304103852,0.05010029673576355,True,0.5171332508325577,0.5143711591760317,-0.0027620916565259668
test,logistic_regression,24,12,12,0.0627599319634081,0.990673701022588,0.620181981784747,0.32724048601225364,0.7154520781768814,0.09869456752357281,0.2820076618675853,0.9050672261725933,0.9354465193009224,0.9279137690591799,False,0.5917202958907338,0.6486436676787604,0.05692337178802653
test,lstm,24,12,12,0.4499260783195495,0.4708046019077301,0.4612622931599617,0.005373086255581667,0.4610163420438766,0.45539645254611966,0.4577005133032798,0.46512980759143824,0.46768255829811095,0.020878523588180598,True,0.45990777264038724,0.46261681367953617,0.0027090410391489295
test,random_forest,24,12,12,0.335,0.73,0.5652083333333333,0.11492279262134596,0.5675,0.428,0.47875,0.6687500000000001,0.707,0.39499999999999996,False,0.5499999999999999,0.5804166666666665,0.030416666666666536
validation,causal_tcn,8,4,4,0.4634694457054138,0.4968651533126831,0.48105715587735176,0.010557913137951616,0.483900249004364,0.46545440852642056,0.47568588703870773,0.4875488579273224,0.4904555857181549,0.03339570760726929,True,0.4834863021969795,0.478628009557724,-0.004858292639255524
validation,gru,8,4,4,0.4991259276866913,0.5318193435668945,0.5170650146901608,0.011279058066869359,0.5183684229850769,0.5023207396268845,0.509788304567337,0.526643306016922,0.5282384872436523,0.03269341588020325,True,0.5136617496609688,0.5204682797193527,0.006806530058383942
validation,logistic_regression,8,4,4,0.1982191680729371,0.966224943722745,0.6265011587689773,0.27411267829792196,0.7138117718251118,0.268115420940107,0.36794895856301757,0.8486415264032295,0.9189298290870602,0.768005775649808,False,0.823127245404041,0.4298750721339137,-0.39325217327012735
validation,lstm,8,4,4,0.4494370520114898,0.4767633974552154,0.4623272754251957,0.007980835402195564,0.4595228284597397,0.4558550894260406,0.45885246247053146,0.46595508605241776,0.47331517934799194,0.027326345443725586,True,0.4610508680343628,0.46360368281602854,0.0025528147816657465
validation,random_forest,8,4,4,0.44,0.795,0.595625,0.11665755172726713,0.595,0.46799999999999997,0.49875,0.6737500000000001,0.718,0.35500000000000004,False,0.6475,0.54375,-0.10375000000000001
