split,model_name,selected_by,threshold,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,number_of_samples,warning
realtime_simulation,random_forest,best_f1_threshold,0.26,0.5263157894736842,0.5147058823529411,0.5194174757281553,1.0,0.6837060702875399,0.9705882352941176,0.0,209,
realtime_simulation,random_forest,best_balanced_accuracy_threshold,0.43,0.5741626794258373,0.5671614440168591,0.5542168674698795,0.8598130841121495,0.673992673992674,0.7254901960784313,0.14018691588785046,209,
realtime_simulation,random_forest,conservative_threshold,0.57,0.48325358851674644,0.4889133223382811,0.4909090909090909,0.2523364485981308,0.3333333333333333,0.27450980392156865,0.7476635514018691,209,
test,causal_tcn,best_f1_threshold,0.45,0.5416666666666666,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857,0.9166666666666666,0.0,24,
test,causal_tcn,best_balanced_accuracy_threshold,0.45,0.5416666666666666,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857,0.9166666666666666,0.0,24,
test,causal_tcn,conservative_threshold,0.51,0.5,0.5,0.5,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.9166666666666666,24,
test,gru,best_f1_threshold,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,24,
test,gru,best_balanced_accuracy_threshold,0.54,0.5416666666666666,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666,24,
test,gru,conservative_threshold,0.54,0.5416666666666666,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666,24,
test,logistic_regression,best_f1_threshold,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,24,
test,logistic_regression,best_balanced_accuracy_threshold,0.88,0.6666666666666666,0.6666666666666667,0.75,0.5,0.6,0.16666666666666666,0.5,24,
test,logistic_regression,conservative_threshold,0.85,0.6666666666666666,0.6666666666666667,0.7,0.5833333333333334,0.6363636363636364,0.25,0.4166666666666667,24,
test,lstm,best_f1_threshold,0.45,0.5416666666666666,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857,0.9166666666666666,0.0,24,
test,lstm,best_balanced_accuracy_threshold,0.46,0.625,0.625,0.6153846153846154,0.6666666666666666,0.64,0.4166666666666667,0.3333333333333333,24,
test,lstm,conservative_threshold,0.48,0.5,0.5,0.0,0.0,0.0,0.0,1.0,24,
test,random_forest,best_f1_threshold,0.43,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0,24,
test,random_forest,best_balanced_accuracy_threshold,0.5,0.625,0.625,0.6,0.75,0.6666666666666666,0.5,0.25,24,
test,random_forest,conservative_threshold,0.7,0.5833333333333334,0.5833333333333333,0.75,0.25,0.375,0.08333333333333333,0.75,24,
validation,causal_tcn,best_f1_threshold,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,8,
validation,causal_tcn,best_balanced_accuracy_threshold,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,8,
validation,causal_tcn,conservative_threshold,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,8,
validation,gru,best_f1_threshold,0.52,0.75,0.75,0.75,0.75,0.75,0.25,0.25,8,
validation,gru,best_balanced_accuracy_threshold,0.52,0.75,0.75,0.75,0.75,0.75,0.25,0.25,8,
validation,gru,conservative_threshold,0.52,0.75,0.75,0.75,0.75,0.75,0.25,0.25,8,
validation,logistic_regression,best_f1_threshold,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,8,
validation,logistic_regression,best_balanced_accuracy_threshold,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,8,
validation,logistic_regression,conservative_threshold,0.9,0.375,0.375,0.0,0.0,0.0,0.25,1.0,8,
validation,lstm,best_f1_threshold,0.45,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0,8,
validation,lstm,best_balanced_accuracy_threshold,0.45,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0,8,
validation,lstm,conservative_threshold,0.47,0.5,0.5,0.5,0.25,0.3333333333333333,0.25,0.75,8,
validation,random_forest,best_f1_threshold,0.45,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0,8,
validation,random_forest,best_balanced_accuracy_threshold,0.45,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.75,0.0,8,
validation,random_forest,conservative_threshold,0.8,0.5,0.5,0.0,0.0,0.0,0.0,1.0,8,
